date,user_id,monthly_income,monthly_expense_total,savings_rate,budget_goal,financial_scenario,credit_score,debt_to_income_ratio,loan_payment,investment_amount,subscription_services,emergency_fund,transaction_count,fraud_flag,discretionary_spending,essential_spending,income_type,rent_or_mortgage,category,cash_flow_status,financial_advice_score,financial_stress_level,actual_savings,savings_goal_met
2021-09-17,1632.0,4971.84,3404.51,0.11,3803.92,inflation,710.0,0.54,525.34,755.28,9.0,911.81,28.0,0.0,486.28,1589.32,mixed,1239.05,Utilities,positive,47.7,low,1567.33,1
2020-04-25,1079.92865,3458.045694,1286.805302,0.321623684,2539.383853,normal,710.0338785,0.286162225,504.4436715,435.6264002,7.344361789,807.952818,44.40238273,-0.007551219,263.9824622,2202.760806,freelance,1669.33595,Education,positive,30.73874921,low,2126.186761,1
2023-10-07,1028.0,2202.11,1916.99,0.35,2166.9,inflation,707.0,0.27,614.86,277.25,2.0,1634.6,30.0,0.0,224.33,2760.52,salary,511.56,Utilities,neutral,74.0,medium,285.12,1
2021-03-21,1817.0,4624.19,3486.68,0.09,3333.08,normal,662.0,0.5,742.75,23.81,3.0,1188.34,25.0,0.0,493.62,2056.17,salary,825.84,Dining Out,positive,86.2,low,1137.51,1
2023-01-10,2006.205242,3701.147955,2894.966973,0.058660563,3192.294246,recession,672.4427465,0.555822114,424.9388498,765.4391279,8.990694024,834.4674848,89.80282753,0.006039998,375.6836572,3649.686646,mixed,1434.444872,Transportation,positive,11.62979759,medium,936.3275172,1
2020-07-24,1252.0,5186.4,3313.47,0.34,2842.88,recession,633.0,0.3,858.02,844.41,5.0,1407.53,65.0,0.0,793.91,2515.57,salary,1655.58,Utilities,positive,78.1,high,1872.93,1
2022-11-11,1194.0,4405.6,2086.74,0.25,3067.48,inflation,667.0,0.31,690.36,291.7,2.0,1254.99,78.0,0.0,604.26,1317.03,freelance,1402.39,Transportation,positive,42.6,low,2318.86,1
2021-02-19,1674.0,3998.83,3546.31,0.14,1175.57,recession,647.0,0.21,600.0,570.29,8.0,1024.21,27.0,0.0,642.78,1633.35,mixed,989.1,Groceries,neutral,32.2,medium,452.52,1
2022-06-14,1216.331871,3837.570218,4096.709482,0.168562515,2864.750583,inflation,743.6630671,0.502274301,802.3339553,314.7783256,4.863637725,1488.259423,26.48201457,0.000854598,408.2402883,2622.08418,freelance,1810.558663,Entertainment,negative,11.19737656,medium,12.26791556,1
2021-09-17,1873.177589,5248.539847,2872.290032,0.072350364,3218.827684,recession,574.3481516,0.155411412,19.79690554,365.498132,3.068581544,908.057373,74.66069763,0.000567354,506.2463231,1683.290701,freelance,1672.724813,Entertainment,positive,67.70762317,medium,2372.569277,1
2019-05-01,1544.0,5219.48,2840.75,0.39,2019.63,normal,719.0,0.52,426.94,129.94,4.0,1366.26,26.0,0.0,404.79,2027.88,freelance,1731.17,Rent,positive,43.3,low,2378.73,1
2020-12-21,1510.131789,3892.506806,2398.350505,0.315911946,3106.304788,normal,764.8787963,0.228994369,374.8859887,154.4079096,8.991580842,704.6585039,28.91682423,0.006070399,261.0115471,961.0005137,freelance,778.1867758,Healthcare,positive,96.03286849,medium,1419.659479,1
2021-07-19,1596.278749,3836.443412,4140.821207,0.076213002,3622.872095,normal,663.9186256,0.234769974,540.3545632,549.5087961,1.938426158,434.7757218,74.57381871,0.009584036,256.3856654,2863.775624,mixed,1429.065897,Groceries,negative,64.43016402,high,-34.14392245,0
2019-11-27,1016.0,4328.95,3001.03,0.13,3695.99,normal,643.0,0.46,510.03,484.59,7.0,2485.71,82.0,0.0,711.89,2186.7,salary,591.82,Utilities,positive,83.6,low,1327.92,1
2020-11-21,1740.146058,2469.973029,2635.500332,0.150639213,3479.039849,inflation,756.750942,0.341512982,428.2076843,446.7089667,7.150467758,1206.790149,28.89324008,0.005042167,508.2566816,2044.24275,freelance,1429.256933,Rent,neutral,44.27677794,medium,-4.21663752,0
2023-05-10,1327.852804,4411.424965,2299.076582,0.245038642,3058.789602,normal,653.2749656,0.152569714,360.2174021,224.0146796,3.072857397,1571.57984,52.49416095,0.000629678,876.8073126,2592.268671,salary,770.0674606,Entertainment,positive,6.681017296,high,2069.338688,1
2023-02-09,1893.910551,3948.247705,4454.284236,0.351731405,2729.765207,normal,545.6809727,0.527480631,322.0482637,544.7803243,6.144309758,1511.225059,75.18932389,-0.001333591,573.9387492,2197.431708,salary,1645.957376,Groceries,negative,61.94495876,low,-110.463702,0
2022-10-12,1975.492092,3184.915931,4216.034598,0.060064824,3392.693756,normal,716.2910434,0.313278997,300.3357922,171.2331744,8.994765709,24.70740879,91.44299501,-0.020882573,504.7127158,3533.995093,mixed,1736.728211,Education,negative,6.928339122,medium,-85.47523936,0
2021-01-20,1354.31602,5717.242381,2610.554478,0.239413205,3537.3424,normal,667.3213425,0.318094586,107.2187758,392.0045266,3.133703154,715.6297266,97.17874816,-0.017267675,444.6565879,2274.781568,freelance,744.2923853,Insurance,positive,34.20106285,medium,3092.604155,1
2022-11-11,1099.520987,4072.806363,3882.999653,0.147841961,3073.281187,normal,607.641827,0.136441368,199.9969033,10.17997155,5.924245083,1172.485026,34.53774146,-0.010020039,266.3584736,2200.27468,freelance,1500.608774,Dining Out,neutral,34.1836904,low,160.1686082,1
2019-01-31,1203.0,3092.56,2392.35,0.36,1669.36,inflation,687.0,0.56,516.91,585.79,1.0,934.39,26.0,0.0,428.42,1874.71,salary,1976.77,Transportation,positive,22.6,low,700.21,1
2023-10-07,1514.0,4197.9,2379.33,0.19,2995.86,inflation,657.0,0.31,735.43,222.66,1.0,1026.72,54.0,0.0,552.89,2730.31,mixed,1060.23,Groceries,positive,92.3,medium,1818.57,1
2020-12-21,1310.0,3642.2,1872.49,0.25,1972.05,normal,721.0,0.16,782.47,423.27,2.0,1139.84,50.0,0.0,408.48,2303.32,salary,1540.2,Insurance,positive,4.5,low,1769.71,1
2022-07-14,1040.403134,5375.066743,3376.248783,0.088506459,2420.379536,normal,674.4659465,0.332343212,573.9868747,365.8345297,7.878082828,208.7565334,58.84690502,0.004415788,652.1246995,2716.755004,salary,748.7539664,Transportation,positive,6.449187683,low,1930.338566,1
2020-01-26,1326.0,4061.33,3102.7,0.08,2469.49,recession,680.0,0.57,746.5,0.0,9.0,1638.43,55.0,0.0,773.07,1735.03,salary,1224.64,Entertainment,positive,19.6,medium,958.63,1
2019-06-30,1647.648009,3912.237041,4072.2717,0.276738487,3097.129771,recession,812.4134099,0.113354101,635.7500148,248.0055516,2.857354188,1242.03599,84.30880039,-0.009977584,244.7888798,1811.483611,freelance,2053.787286,Rent,neutral,74.39243605,low,5.483690063,1
2022-10-12,1074.0,3604.93,3988.9,0.31,2924.95,normal,723.0,0.33,899.1,37.24,4.0,620.93,23.0,0.0,463.33,2238.26,salary,863.76,Groceries,negative,88.3,low,0.0,0
2022-02-14,1580.0,4942.42,2770.88,0.08,3312.92,normal,754.0,0.23,399.71,458.55,5.0,895.11,71.0,0.0,870.33,1015.29,freelance,1358.84,Groceries,positive,6.7,low,2171.54,1
2021-12-16,1293.0,4181.87,2448.13,0.08,3068.14,inflation,649.0,0.42,519.13,945.01,5.0,1117.69,27.0,0.0,354.56,2432.6,salary,1669.32,Education,positive,5.3,medium,1733.74,1
2022-12-11,1829.0,4589.2,2140.76,0.36,2019.69,inflation,682.0,0.46,245.8,285.51,2.0,921.04,58.0,0.0,666.19,2528.63,freelance,1411.3,Insurance,positive,60.2,low,2448.44,1
2022-06-14,1686.287515,4157.367147,3835.109401,0.3583033,2683.75414,inflation,782.4651597,0.110759465,815.8135144,180.3371272,9.06767333,1303.04603,55.65498467,-0.010904507,633.3868522,1278.608852,freelance,1032.44136,Utilities,neutral,45.56427859,medium,214.5449259,1
2019-08-29,1160.217535,4485.230587,1856.764881,0.370335261,2083.986376,recession,679.715933,0.185008371,446.8997039,409.5290416,4.151521668,1825.688622,44.75358802,0.001463076,458.1952082,1711.254439,mixed,1815.999793,Transportation,positive,26.92030956,medium,2589.900116,1
2020-03-26,1310.950438,3514.665676,4235.862221,0.15365121,3014.379144,recession,765.6476379,0.250403603,558.5171605,601.7498516,3.963209672,1125.903444,96.69474775,-0.006219984,743.3244556,2682.166631,mixed,1196.782358,Groceries,negative,70.10564332,low,41.75229833,1
2019-05-01,1864.959676,5058.993645,2419.788992,0.133462863,1580.855855,inflation,661.2591167,0.143471735,428.2770051,347.5853913,8.048661702,707.8352448,76.51772653,-0.00177701,353.755335,2269.39664,salary,700.8279508,Transportation,positive,45.29470421,high,2711.177133,1
2020-11-21,1391.485037,4330.759738,3236.581857,0.131089103,2633.956256,inflation,725.9349052,0.411424225,457.7112056,280.1523257,0.834897196,534.8568443,57.00432703,0.005363658,296.4363899,1478.955801,mixed,635.6113672,Groceries,positive,86.03523086,low,1075.291102,1
2021-08-18,1331.0,3714.16,3752.83,0.18,2903.44,normal,634.0,0.54,28.62,192.2,9.0,1023.73,44.0,0.0,739.31,2041.09,salary,1669.49,Entertainment,neutral,75.5,low,0.0,0
2020-07-24,1166.0,4154.59,3070.33,0.37,3168.63,inflation,682.0,0.35,634.79,475.69,9.0,723.56,53.0,0.0,563.52,2297.94,mixed,2222.8,Investments,positive,93.6,high,1084.26,1
2019-05-01,1574.0,5560.87,2735.66,0.18,2467.16,inflation,705.0,0.21,602.44,836.38,2.0,1454.36,83.0,0.0,742.83,3045.95,salary,1046.96,Dining Out,positive,82.9,low,2825.21,1
2021-02-19,1974.0,6901.16,4122.09,0.08,1873.23,normal,758.0,0.32,531.53,488.44,7.0,1436.17,30.0,0.0,537.04,2578.2,salary,954.74,Transportation,positive,32.3,high,2779.07,1
2020-02-25,1327.0,4822.96,3197.11,0.08,2918.12,normal,716.0,0.43,347.64,441.85,1.0,1258.67,75.0,0.0,753.5,1761.88,salary,1638.63,Utilities,positive,34.5,low,1625.85,1
2020-10-22,1039.204235,5856.273385,4471.21637,0.271767452,2140.571393,recession,662.3135015,0.174122669,315.6227696,41.40697987,3.178182005,1655.269606,40.15540839,0.002646922,491.4968857,1999.264763,mixed,1579.117536,Groceries,positive,73.96590407,medium,1414.917635,1
2022-06-14,1483.773431,3532.20218,2956.030132,0.139984916,2797.078874,normal,654.2714735,0.489842348,594.6353225,593.9851375,3.006472651,929.0232462,44.00021458,-0.001110619,403.1075225,1608.124041,salary,1766.960646,Groceries,positive,52.49813323,low,575.1035843,1
2023-03-11,1926.36151,4127.641485,3053.853721,0.365102581,2607.077493,recession,675.9886623,0.523617487,2.427093467,445.3431408,8.968766998,1136.370365,85.81205291,0.007535094,336.3035308,1763.999415,freelance,1582.63757,Investments,positive,6.167991853,low,1230.784606,1
2021-09-17,1547.767013,2576.124449,3837.329296,0.342052477,2627.967557,normal,699.6759141,0.218355927,756.9753579,282.6257946,7.28214023,1985.532643,52.66266467,-0.000661635,467.241114,1472.517946,mixed,605.3539597,Education,negative,2.429527247,high,69.63149905,1
2019-05-01,1432.57825,4141.253979,1149.640575,0.405106122,3127.28569,inflation,671.0873416,0.432418847,433.559244,373.2389022,7.050540069,1477.694877,81.86182678,5.15513e-05,543.3195465,2310.453915,freelance,1213.920001,Utilities,positive,75.73959748,medium,2952.261563,1
2023-06-09,1407.0,3875.22,2333.25,0.22,3223.4,normal,702.0,0.57,632.06,384.07,2.0,1425.48,47.0,0.0,736.18,2802.01,salary,1465.31,Education,positive,53.9,medium,1541.97,1
2019-08-29,1563.919672,2453.005622,4049.150516,0.135364354,2667.778458,recession,684.7148193,0.353812786,632.1809229,503.0298947,9.04963819,894.0404983,54.49179832,0.013451791,624.0945884,2682.573903,salary,1236.820794,Healthcare,negative,69.12654172,low,-107.0486898,0
2022-05-15,1275.32035,3901.076724,2905.626744,0.273689805,3829.794441,recession,669.7422144,0.467440288,576.0055804,362.4421152,8.082597359,1237.641407,47.17541399,0.997123552,594.2570669,2457.752607,mixed,1369.515277,Insurance,positive,27.42731167,high,1059.98945,1
2022-08-13,1969.0,2854.76,3294.04,0.31,3307.17,inflation,796.0,0.51,143.92,173.38,5.0,0.0,52.0,1.0,768.8,2605.57,freelance,1936.37,Education,negative,50.0,low,0.0,0
2021-09-17,1246.298318,3024.656143,2852.377874,0.141641582,3827.051179,recession,712.3518842,0.464332701,461.5397929,242.2082969,7.825191709,1654.125313,35.97266375,4.41535e-05,776.0505875,1842.607006,freelance,1100.423595,Entertainment,neutral,28.03638866,high,159.0153689,1
2023-03-11,1483.127649,2468.966872,2962.588507,0.173441083,2302.366223,recession,588.4893295,0.184093835,533.0866285,494.1154028,1.028255429,1324.566218,42.07982352,-0.005317676,354.8600316,2911.189033,freelance,1203.745113,Healthcare,negative,35.19694056,high,51.87516411,1
2019-05-31,1289.0,4551.4,3540.8,0.09,3929.6,normal,639.0,0.29,789.04,523.47,6.0,1074.86,85.0,0.0,488.86,1996.04,freelance,1359.26,Rent,positive,99.0,low,1010.6,1
2022-05-15,1082.750266,5834.109068,3168.77469,0.211089069,3291.546262,inflation,629.8887626,0.212506132,504.6117088,28.21629596,1.107843154,745.1010619,53.54721272,0.01914438,334.2644691,996.1097799,freelance,923.1808767,Dining Out,positive,90.77505404,high,2692.98548,1
2019-05-01,1778.049308,2498.566536,1861.850009,0.069151346,2312.687579,inflation,596.5818235,0.204103111,577.8940541,493.1897549,7.909878242,180.3576027,85.92341031,0.005624549,148.4329063,1587.472014,salary,1345.767349,Groceries,positive,87.52563581,low,653.58818,1
2021-08-18,1569.233899,4609.717379,2750.102514,0.356428397,2269.561727,recession,667.43598,0.376827552,500.8675491,308.5689113,8.853388976,1251.994953,90.44574412,0.003423343,380.0944709,2419.740964,mixed,1481.059142,Entertainment,positive,19.51208235,high,1761.29595,1
2019-11-27,1784.0,2669.1,2938.03,0.07,3185.65,recession,752.0,0.35,543.29,266.77,1.0,566.61,86.0,0.0,398.49,3643.11,mixed,1377.98,Utilities,negative,87.9,medium,0.0,0
2020-07-24,1468.0,4151.57,4170.8,0.3,2914.36,normal,603.0,0.53,752.54,259.35,5.0,1336.16,38.0,0.0,77.3,3379.82,salary,1871.18,Utilities,neutral,34.4,low,0.0,0
2021-04-20,1079.561649,3780.226494,2924.836592,0.092029617,3077.7256,normal,636.5716892,0.332158721,783.4015575,196.1126781,2.013648626,283.3145498,21.53072353,0.008935624,225.4754668,2192.823724,salary,1270.8329,Entertainment,positive,21.2236505,low,990.7305839,1
2022-03-16,1085.768804,3414.279292,2458.116264,0.320305371,3556.732933,recession,744.8293262,0.270689205,530.8088861,664.6329501,2.067655742,801.9021955,72.51473787,-0.001432068,437.8522238,1694.159481,salary,1628.916151,Rent,positive,81.9813782,low,891.3912975,1
2022-05-15,1737.0,685.28,3747.72,0.39,1872.0,inflation,647.0,0.34,581.47,603.27,1.0,1113.07,22.0,0.0,283.97,1198.89,salary,1472.97,Education,negative,97.0,high,0.0,0
2022-04-15,1214.0,4547.31,2686.17,0.2,2776.87,inflation,627.0,0.44,266.35,317.65,5.0,1171.58,37.0,0.0,323.11,2267.66,salary,1143.93,Healthcare,positive,7.6,low,1861.14,1
2020-03-26,1677.795643,2979.765509,4779.129444,0.086059171,3251.669527,inflation,645.931192,0.124609442,575.918236,95.96259337,3.871397209,1939.88815,34.18891801,0.00658132,189.4237858,1913.061187,freelance,1264.446926,Transportation,negative,65.71590944,medium,27.09085603,1
2020-02-25,1680.0,3653.03,2542.02,0.33,2758.25,normal,700.0,0.22,680.51,167.83,1.0,889.93,33.0,0.0,334.1,2855.32,salary,1513.6,Investments,positive,90.8,low,1111.01,1
2020-02-25,1950.0,4455.53,3308.17,0.32,2815.92,normal,720.0,0.54,402.27,371.17,9.0,1435.17,48.0,0.0,674.34,2461.61,salary,1117.59,Rent,positive,45.3,medium,1147.36,1
2022-09-12,1392.0,5198.04,4072.54,0.12,3192.61,recession,708.0,0.14,323.62,61.64,9.0,1114.16,32.0,0.0,428.78,1966.94,salary,1346.04,Transportation,positive,33.2,low,1125.5,1
2020-05-25,1901.0,4156.47,1722.33,0.39,3209.03,normal,778.0,0.12,457.74,669.61,5.0,424.24,46.0,0.0,124.61,2925.91,salary,1003.64,Groceries,positive,99.8,high,2434.14,1
2021-02-19,1255.0,2948.52,2941.63,0.37,2507.79,inflation,775.0,0.54,766.42,712.77,3.0,892.63,85.0,0.0,482.72,3114.94,salary,1034.32,Insurance,neutral,8.9,high,6.89,1
2023-07-09,1853.770803,3155.857311,2907.862751,0.192725061,2975.093611,normal,755.7472078,0.432015758,495.9982371,547.8629151,8.848422741,981.6958254,46.48056485,-0.001625444,682.9628989,1163.359221,salary,1742.422399,Investments,neutral,17.24645118,medium,143.7680073,1
2022-03-16,1191.316676,3920.835136,3003.362698,0.099132487,2564.424017,recession,656.4349461,0.111577408,501.6699779,716.3818248,5.771761058,1281.832898,85.03128544,0.011035955,482.1793862,2991.416727,salary,598.995613,Groceries,positive,56.38160175,high,976.334172,1
2019-08-29,1096.240466,4661.938814,2345.824811,0.10133309,1886.844553,inflation,663.8935964,0.392440692,468.5598799,564.4773049,1.237266973,393.4882882,97.0829112,0.008851591,189.9915713,2603.331798,freelance,851.5275706,Groceries,positive,47.92215521,medium,2253.39874,1
2023-05-10,1798.0,916.04,3094.28,0.26,2511.34,normal,680.0,0.18,409.43,882.13,7.0,1389.3,48.0,0.0,543.92,1000.0,salary,857.33,Dining Out,negative,37.7,medium,0.0,0
2020-01-26,1698.0,6342.61,4550.07,0.28,2529.62,normal,627.0,0.27,503.36,339.45,2.0,877.33,87.0,0.0,555.62,1446.41,freelance,1500.98,Healthcare,positive,0.8,low,1792.54,1
2020-10-22,1350.242166,3022.586847,3837.861357,0.206953914,2826.77678,recession,698.6886251,0.331278624,555.4441164,693.9316395,5.96481895,1056.112366,34.03827529,0.015659752,588.2061283,2611.694294,freelance,974.6459969,Entertainment,negative,22.42292172,medium,45.01947103,1
2019-05-01,1068.0,6001.48,5495.2,0.26,2680.2,recession,638.0,0.34,549.65,314.89,2.0,1118.56,87.0,0.0,765.11,1293.85,freelance,1790.7,Investments,positive,10.4,low,506.28,1
2020-04-25,1889.054311,5519.235576,4219.957265,0.24013758,2938.953832,normal,643.7499477,0.535780131,559.2017934,624.8958692,7.969194075,1193.911313,82.27256411,-0.004354804,869.026064,3810.146044,freelance,940.4651894,Insurance,positive,90.20129022,low,1415.374919,1
2021-05-20,1805.692516,5508.099013,2870.683285,0.273446661,2524.315477,inflation,708.805762,0.242372761,667.7766956,280.3507059,4.041715548,1059.015005,45.88120802,-0.000625434,206.4494767,2075.295102,salary,1331.264562,Healthcare,positive,14.69335486,high,2784.455513,1
2021-04-20,1047.0,4873.0,3477.82,0.24,3437.07,inflation,653.0,0.17,378.11,563.35,8.0,776.84,57.0,0.0,315.63,2119.93,salary,1972.01,Investments,positive,12.5,medium,1395.18,1
2022-08-13,1519.0,5455.07,2837.07,0.2,2297.22,normal,754.0,0.14,233.27,532.26,5.0,1470.04,42.0,0.0,470.47,2678.14,freelance,1122.42,Transportation,positive,40.3,low,2618.0,1
2022-07-14,1770.0,4031.76,2825.62,0.1,3122.18,normal,690.0,0.14,555.72,690.22,9.0,453.8,45.0,0.0,432.86,2346.52,salary,1112.62,Entertainment,positive,46.7,low,1206.14,1
2022-11-11,1368.585369,3408.839045,3275.676758,0.120145924,2728.82423,recession,756.2545049,0.292828284,466.9655591,161.6603958,5.177307592,371.1207016,49.30462561,-0.010860271,601.1950464,2288.30292,freelance,1102.748995,Dining Out,neutral,27.82605617,low,298.3691607,1
2019-08-29,1856.0,4344.02,2797.36,0.33,2189.92,normal,710.0,0.16,809.89,583.72,8.0,281.72,61.0,0.0,0.0,1734.17,salary,1443.29,Groceries,positive,67.8,low,1546.66,1
2023-02-09,1039.0,4274.42,2488.32,0.14,3345.62,normal,545.0,0.58,373.1,320.55,7.0,1143.49,92.0,0.0,888.8,2699.16,salary,645.61,Education,positive,0.3,high,1786.1,1
2022-01-15,1432.76341,3626.256618,3413.486648,0.097251144,3029.656225,normal,620.4998346,0.450053038,0.670711185,213.8544616,1.970456965,1216.577264,23.62487688,0.006057362,702.9431655,2621.215168,salary,942.1763924,Investments,neutral,84.84364535,medium,166.7450513,1
2020-08-23,1450.0,4847.53,2112.68,0.27,3475.64,normal,599.0,0.27,786.34,15.05,5.0,855.35,26.0,0.0,319.31,2766.37,salary,956.5,Rent,positive,29.8,medium,2734.85,1
2023-02-09,1746.0,3689.48,1854.24,0.17,2498.45,normal,692.0,0.49,881.18,39.2,1.0,1530.03,30.0,0.0,570.88,1826.67,mixed,1709.34,Groceries,positive,27.1,low,1835.24,1
2021-01-20,1816.0,5516.76,2529.83,0.21,2215.5,recession,730.0,0.56,991.52,538.51,2.0,727.36,64.0,0.0,509.61,2339.71,salary,1263.32,Transportation,positive,12.9,low,2986.93,1
2020-11-21,1057.0,4124.22,2712.7,0.26,3029.37,normal,706.0,0.21,308.5,258.74,5.0,615.45,94.0,0.0,643.02,1682.26,salary,839.09,Utilities,positive,78.3,low,1411.52,1
2019-11-27,1270.0,4848.8,3679.83,0.32,2734.17,normal,700.0,0.33,371.01,743.26,1.0,212.7,31.0,0.0,331.58,1000.0,salary,1602.78,Insurance,positive,87.3,low,1168.97,1
2019-10-28,1805.0,4635.73,2587.17,0.35,2868.4,normal,697.0,0.17,293.81,328.38,5.0,618.92,85.0,0.0,395.23,2479.05,salary,1245.56,Entertainment,positive,78.9,low,2048.56,1
2023-07-09,1352.123702,4425.814025,3384.998276,0.141595551,2285.060099,recession,659.8641202,0.506616865,435.1656643,506.1664548,0.808184755,286.2065285,25.61014669,-0.015264487,545.8900129,2712.277191,salary,1629.151695,Transportation,positive,9.882165315,medium,957.3285526,1
2019-11-27,1430.929886,2926.328117,1287.734618,0.249991299,2979.53282,normal,683.4243189,0.247826025,785.8373718,723.0270694,2.238472096,1525.033978,26.65949749,0.003416601,845.9450166,1939.180261,freelance,1172.506009,Healthcare,positive,10.0387051,medium,1508.561764,1
2021-06-19,1308.0,4248.11,2131.51,0.1,3344.46,inflation,669.0,0.56,412.01,114.23,7.0,630.96,50.0,0.0,388.82,1788.89,freelance,1311.82,Rent,positive,99.1,high,2116.6,1
2023-04-10,1282.423091,4591.112023,3565.21308,0.099950448,3989.577391,recession,637.0153923,0.289281073,797.6616581,527.5151034,6.130124918,1065.061735,84.05616966,-0.010062867,471.8943288,2038.176105,mixed,1369.971225,Groceries,positive,98.89058813,low,991.1790019,1
2020-06-24,1507.0,5573.58,2067.32,0.11,2005.75,inflation,614.0,0.2,625.4,232.62,5.0,0.0,36.0,0.0,326.48,1630.53,freelance,968.16,Rent,positive,96.8,low,3506.26,1
2021-04-20,1228.405131,3730.907788,3553.020646,0.163645158,3112.798191,inflation,742.4139402,0.512176028,341.0245454,240.9193274,5.971006452,508.6707853,61.27547074,0.006624735,514.145653,2186.45154,freelance,888.112291,Healthcare,neutral,91.537479,high,181.6930746,1
2023-06-09,1028.0,3041.88,1357.22,0.33,3334.79,normal,725.0,0.28,428.2,154.88,5.0,1261.02,63.0,0.0,499.92,2451.77,salary,1465.22,Insurance,positive,39.5,high,1684.66,1
2021-01-20,1280.0,4168.25,2175.41,0.2,2758.64,recession,654.0,0.54,396.52,606.66,9.0,353.3,74.0,0.0,416.75,2300.51,salary,1417.37,Education,positive,99.7,low,1992.84,1
2023-05-10,1250.0,6059.3,3231.19,0.36,2913.89,recession,698.0,0.48,276.0,596.98,1.0,1499.32,83.0,0.0,686.98,2392.21,freelance,1741.81,Entertainment,positive,47.3,low,2828.11,1
2022-07-14,1960.548713,4692.146153,3674.667128,0.220029823,2841.722883,normal,716.5247102,0.222779056,329.042726,191.0827781,2.018464985,1111.167075,51.13235516,-0.000536216,626.5839673,1497.660471,mixed,982.7706739,Investments,positive,85.904169,high,892.2190715,1
2021-05-20,1164.0,2888.28,2936.03,0.39,2773.58,normal,632.0,0.19,686.65,791.5,2.0,854.66,92.0,0.0,356.08,1933.95,salary,1064.8,Entertainment,neutral,27.6,low,0.0,0
2022-04-15,1599.059368,4369.884279,2326.981149,0.170165459,2509.538655,inflation,714.2869454,0.377034385,206.2524039,333.5316947,4.018626888,1002.572809,79.56860516,0.001249486,811.4403253,2800.974308,mixed,1235.158899,Dining Out,positive,15.02954882,medium,2036.896716,1
2021-09-17,1209.0,3456.66,2910.41,0.3,3457.95,normal,611.0,0.48,492.74,222.84,7.0,592.01,68.0,0.0,429.48,2045.01,salary,670.0,Groceries,positive,10.7,low,546.25,1
2022-01-15,1721.0,5684.85,3303.58,0.11,3210.78,normal,728.0,0.32,200.03,215.02,1.0,830.9,93.0,0.0,485.27,2057.88,freelance,953.17,Insurance,positive,87.1,low,2381.27,1
